-14.9889, 0.247923, 0.0613678
-10.4814, 0.613898, -0.317427
-6.36898, 0.667947, -0.213552
-2.55118, 1.01171, 0.40072
2.48743, 1.3798, 0.0498882
6.63129, 1.90908, -0.210932
10.4606, 2.06642, 0.00575999
15.2957, 2.07906, -0.0381274
-14.9436, 0.674341, -4.0019
-11.0248, 0.837703, -3.95163
-6.41329, 1.14321, -4.08889
-2.16817, 1.44099, -4.40891
2.19692, 1.67029, -3.59
6.61462, 2.06665, -3.72933
10.8477, 2.11035, -3.95536
14.812, 2.02713, -4.15855
-15.083, 1.33324, -8.19101
-10.3372, 1.35301, -7.83725
-6.86141, 1.53751, -8.20708
-1.92069, 1.76488, -7.96319
2.08559, 1.8239, -7.66239
6.25517, 2.17051, -8.25721
10.504, 2.15509, -8.3583
15.1594, 2.0797, -7.57491
-14.5756, 1.90963, -11.6449
-11.1457, 1.90719, -11.8389
-6.53472, 1.93512, -11.6249
-2.35997, 2.0672, -11.6982
1.82694, 1.93481, -11.9093
6.59181, 2.1802, -12.1465
10.2999, 2.1673, -12.1571
15.3483, 1.97933, -11.7173
